expr,min,lq,mean,median,uq,max,neval
"read.csv(""data/UFOCoords.csv"")",139.730087,148.07919,156.35532305,155.594376,161.8581,189.813805,100
"fread(""data/UFOCoords.csv"")",8.274047,8.606322,9.81866317,9.0143255,10.72919,15.998415,100
"df[match(""CANADA"", df$Country, nomatch = 0), ]",378.69,515.5585,611.9605,557.414,687.1525,1290.761,100
"filter(df, Country == ""CANADA"")",2538.64,2826.9555,3543.12881,3195.8855,3735.148,9580.487,100
"df %>% filter(Country == ""CANADA"")",2678.381,2901.949,3587.79933,3199.428,3628.991,10256.272,100
"read.csv(""data/UFOCoords.csv"")",98.975873,101.1629285,107.85923046,106.4757145,112.0935405,125.520474,100
"fread(""data/UFOCoords.csv"")",4.956461,5.296323,5.94449829,5.694233,6.007912,14.602876,100
"df[match(""CANADA"", df$Country, nomatch = 0), ]",269.252,300.4325,434.76758,328.8975,371.781,9289.597,100
"filter(df, Country == ""CANADA"")",1643.183,1734.1855,2460.10111,1771.8775,1924.4915,58971.021,100
"df %>% filter(Country == ""CANADA"")",1712.502,1790.8915,2357.48129,1849.384,2028.075,24719.146,100
"read.csv(""data/UFOCoords.csv"")",143.007577,151.2129285,157.49086491,155.456625,160.748563,217.041801,100
"fread(""data/UFOCoords.csv"")",7.889308,8.1276735,9.14496487,8.595816,9.282262,13.317707,100
"df[match(""CANADA"", df$Country, nomatch = 0), ]",347.182,433.5705,624.76978,482.1845,560.266,10386.798,100
"filter(df, Country == ""CANADA"")",2531.839,2595.455,3265.15908,2657.9615,2852.1375,36033.359,100
"df %>% filter(Country == ""CANADA"")",2644.151,2733.1105,4452.52723,2818.6615,3601.2645,105775.758,100
"read.csv(""data/UFOCoords.csv"")",145.323582,151.005577,156.02920723,153.980165,160.073858,177.911066,100
"fread(""data/UFOCoords.csv"")",8.168354,8.742233,9.46686354,9.087266,9.5906085,17.681262,100
"df[match(""CANADA"", df$Country, nomatch = 0), ]",357.395,384.3195,601.35236,501.924,521.657,10421.991,100
"filter(df, Country == ""CANADA"")",2394.617,2526.5305,3082.50795,2668.592,2955.62,9912.647,100
"df %>% filter(Country == ""CANADA"")",2490.207,2625.0185,4097.44995,2821.618,3144.374,79321.661,100
